promotion,title,start_date,end_date,rating,party_1,party_2,party_3,party_4
World Wrestling Entertainment,Legends of WrestleMania Teil II: Die Obsession des Heartbreak Kid,12/2009 , 03/2010,9.87,Comments,Shawn Michaels,The Undertaker,World Wrestling Entertainment
Ring Of Honor,I hate your f***ing guts: Generico vs. Steen,12/2009 , 12/2010,9.87,El Generico,Colt Cabana,Kevin Steen,Steve Corino
World Wrestling Entertainment,Die Abenteuer der SmackDown Six,10/2002 , 12/2002,9.85,Chris Benoit,Kurt Angle,Eddie Guerrero,Chavo Guerrero
Ring Of Honor,Heroes of Honor: Samoa Joe vs. CM Punk,06/2004 , 12/2004,9.85,Samoa Joe,CM Punk,Ring Of Honor,Summary
World Wrestling Entertainment,"Drei Teams, drei Buchstaben, ein Mythos: Hardys vs. E&C vs. Dudleyz",12/1999 , 05/2001,9.78,Comments,Jeff Hardy,Matt Hardy,Lita
World Wrestling Entertainment,Zur Hölle mit ihm: The Undertaker vs. Edge,05/2007 , 08/2008,9.77,Comments,The Undertaker,Edge,Vickie Guerrero
World Wrestling Entertainment,The Worst is yet to come: Michaels vs. Jericho II,04/2008 , 11/2008,9.76,Comments,Shawn Michaels,Chris Jericho,Lance Cade
World Wrestling Entertainment,"Eine Fehde, eine Ära: Austin vs. McMahon",04/1998 , 07/1999,9.75,Comments,Steve Austin,Vince McMahon,Dude Love
Impact Wrestling,Die Glorreichen Drei der X-Division,01/2005 , 04/2006,9.74,AJ Styles,Christopher Daniels,Samoa Joe,Total Nonstop Action Wrestling
World Wrestling Entertainment,Foleys großer Augenblick: Mankind vs. Rock,11/1998 , 03/1999,9.74,Comments,Mankind,The Rock,Vince McMahon
World Wrestling Entertainment,Schatten der Vergangenheit: Undertaker vs. Kane,05/1997 , 12/1998,9.73,Comments,The Undertaker,Kane,Paul Bearer
World Wrestling Entertainment,Chris gegen Chris: Benoit vs. Jericho,03/2000 , 02/2001,9.72,Comments,Chris Jericho,Chris Benoit,World Wrestling Federation
World Wrestling Entertainment,Just say no: Jeff Hardy vs. CM Punk,06/2009 , 08/2009,9.72,Jeff Hardy,Matt Hardy,CM Punk,John Morrison
World Wrestling Entertainment,Die ewige Jagd: Rocky vs. Triple H,04/1999 , 08/2000,9.71,Comments,The Rock,Triple H,Chyna
World Championship Wrestling,Die Jahrhundertfehde: Ric Flair vs. Ricky Steamboat,01/1989 , 05/1989,9.69,Comments,Ric Flair,Ricky Steamboat,NWA World Championship Wrestling
Extreme Championship Wrestling,Sprach der Rabe Nimmermehr: Raven vs. Dreamer,01/1995 , 06/1997,9.68,Comments,Tommy Dreamer,Luna Vachon,Terry Funk
IWA Mid-South,Als Hero auf Punk traf,09/2001 , 03/2003,9.68,Chris Hero,Nadia Nyce,CM Punk,Dave Prazak
Continental Wrestling Association,Comedian gegen Wrestler: Kaufman vs. Lawler,11/1981 , 11/1983,9.66,Andy Kaufman,Jimmy Hart,Jerry Lawler,Continental Wrestling Association
World Wrestling Entertainment,Y2J on Top of the World: Rock vs. Jericho,10/2001 , 01/2002,9.64,Comments,The Rock,Chris Jericho,World Wrestling Federation
World Wrestling Entertainment,Die Bruderfehde: Bret vs. Owen Hart,11/1993 , 03/1995,9.62,Bret Hart,The British Bulldog,Owen Hart,Jim Neidhart
World Wrestling Entertainment,Auf der Leiter des Erfolgs: Razor vs. Michaels,11/1993 , 08/1995,9.62,Razor Ramon,The 1-2-3 Kid,Shawn Michaels,Diesel
Lucha Underground,Tausend Leben und Tausend Tode: Fenix vs. Mil Muertes,10/2014 , 03/2015,9.61,Fenix,Mil Muertes,Catrina,Lucha Underground
World Wrestling Entertainment,Der Crippler erklimmt den Olymp,01/2004 , 04/2004,9.59,Chris Benoit,Triple H,Shawn Michaels,World Wrestling Entertainment
Ring Of Honor,Krieg der Lebenswelten: Raven vs. Punk,02/2003 , 11/2003,9.58,Comments,Raven,Tommy Dreamer,Terry Funk
World Wrestling Entertainment,Ein unerwünschter Erlösungsversuch: Mysterio vs. Jericho,05/2009 , 07/2009,9.55,Comments,Rey Mysterio,Chris Jericho,World Wrestling Entertainment
World Wrestling Entertainment,Die Geburt der Attitude-Ära: Austin gegen die Hart Foundation,09/1996 , 11/1997,9.54,Comments,Steve Austin,Bret Hart,Owen Hart
World Wrestling Entertainment,Das Comeback des Showstoppers: Michaels vs. Triple H,07/2002 , 06/2004,9.52,Comments,Shawn Michaels,Triple H,Ric Flair
World Wrestling Entertainment,"Der Geist, den er rief: Cactus Jack vs. Triple H",08/1999 , 04/2000,9.49,Comments,Cactus Jack,Mick Foley,Mankind
